Year,AnnualMaxLoss
1166,283009.915587
1167,439449.822625
1168,3729271.764549
1169,458009.974867
1170,155091769.451713
1171,10716126.825945
1172,957427.401704
1173,31507836.110742
1174,850488.658137
1175,4627103.330387
1176,865147.528006
1177,6254059.769504
1178,13137380.646292
1179,43619875.497259
1180,47979072.155092
1181,856423.712209
1182,115108059.065423
1183,168413949.920009
1184,64365456.756712
1185,64943242.342765
1186,439529.189961
1187,10391202.371936
1188,3637.062515
1189,94725226.542147
1190,1778013.585790
1191,7072729.086571
1192,10845075.686363
1193,233325.501677
1194,15748.255951
1195,240737.130385
1196,55465021.997351
1197,43011957.248187
1198,1747426.604249
1199,24343943.415954
1200,981164.982045
1201,3139699.655219
1202,3460852.233539
1203,414539.304376
1204,1182813.781111
1205,452994763.416515
1206,282139863.058316
1207,2509680.638866
1208,5291336.079022
1209,30802944.627321
1210,8907156.571667
1211,811667.055963
1212,423334.373669
1213,3244107.519980
1214,11490200.487696
1215,28253305.968915
1216,4145451.321817
1217,19851216.159771
1218,3186026.891852
1219,1514130.703085
1220,218846128.140447
1221,3044544836.218946
1222,46350169.109969
1223,173609.131424
1224,1867895.806898
1225,67066809.307763
1226,185912.376269
1227,6003725.175050
1228,5724527.021089
1229,75561.694373
1230,240825294.522240
1231,45180278.740447
1232,2777255.561312
1233,53876146.572791
1234,1483579.485251
1235,45614061.668908
1236,143813173.028548
1237,48578180.668437
1238,8633490.415215
1239,64458629.387317
1240,97243381.469842
1241,284911.004796
1242,18989248.150677
1243,13879796.836447
1244,256852432.988452
1245,14247035.782673
1246,29650995.364041
1247,2368564.887787
1248,49274496.119132
1249,191546.237031
1250,87332.295606
1251,142691436.405791
1252,130830979.960625
1253,119733308.548386
1254,2231995.718097
1255,111339202.375938
1256,314688.757167
1257,836838.723050
1258,455100.605395
1259,4040254.189427
1260,695.822204
1261,309260317.459264
1262,10174284.292351
1263,18469681.355166
1264,52021.550495
1265,2939179.656121
1266,522807.116420
1267,68112331.327864
1268,12757.328310
1269,4799487.228126
1270,4990454.966006
1271,20851.276504
1272,11905730.029638
1273,10469513.844584
1274,2795353.896400
1275,104297228.696077
1276,18886972.750940
1277,55006662.459946
1278,137120522.450458
1279,263832.367961
1280,2714820.699783
1281,14104640.169052
1282,9614190.562029
1283,8071751.667977
1284,2040255.500629
1285,93413.197612
1286,81002.169776
1287,10964081.562056
1288,17716469.356186
1289,6947735.171164
1290,3109879.042446
1291,6393947.408063
1292,1715542.058263
1293,3386047.152235
1294,18941879.549771
1295,15587574.106660
1296,12102602.824436
1297,151649850.704858
1298,70973175.191558
1299,1074602.641808
1300,11166934.966009
1301,45435045.370965
1302,3214677.557670
1303,828008.615656
1304,31515570.519868
1305,422519.236918
1306,91852.231619
1307,2577959.813496
1308,1598420.593873
1309,268066130.491990
1310,57295.187503
1311,10881104.363175
1312,99615.113409
1313,2899968.900834
1314,1405084274.449357
1315,344068245.309816
1316,1474198.595063
1317,3214766.464235
1318,453552423.769213
1319,914725.215575
1320,315606.854555
1321,4884060.955286
1322,6202132.414575
1323,1272085274.225701
1324,630100.865734
1325,17516654.696030
1326,221331.940604
1327,12627275.149554
1328,3166372.934322
1329,28335408.193624
1330,74853256.086729
1331,700700.935577
1332,4877427.498631
1333,3786690.559813
1334,27456.014603
1335,29832.479017
1336,302207.127916
1337,57909110.784363
1338,2630210.176408
1339,223317.905878
1340,12492008.312755
1341,140600843.511122
1342,498443.610484
1343,5477347.724069
1344,3180064.713831
1345,9609.708223
